all_products_href,product_title,product_rating_points,product_ratings,product_price,product_images_src,product_styles,product_description,reviews,reviewer_name,review_title,review_rating,reviewer_country_date,purchased_product,review_status,review_body,review_helpfulness
https://www.amazon.com/DGHM-JLMY-Lightweight-Jacket-Packable-Outwear/dp/B0CQ557NHH/ref=sr_1_4382?c=ts&keywords=Men%27s+Active+%26+Performance+Jackets&qid=1706704097&s=apparel&sr=1-4382&ts_id=2476494011,DGHM-JLMY Men's Solid Slim Lightweight Warm Down Jacket Hood Packable Hooded Winter Puffer Jacket Casual Padded Outwear Hood,,,,,,,,,,,,,,,
https://www.amazon.com/DGHM-JLMY-Thicken-Windbreaker-Quilted-Outerwear/dp/B0CQ576SH8/ref=sr_1_4381?c=ts&keywords=Men%27s+Active+%26+Performance+Jackets&qid=1706704097&s=apparel&sr=1-4381&ts_id=2476494011,DGHM-JLMY Men Stand Collar Thicken Sports Down Jacket Full Zip Warm Winter Hiking Puffer Jacket Windbreaker Quilted Outerwear,,,,https://m.media-amazon.com/images/I/71rjaPkE8jL._AC_SX569_.jpg,,,,,,,,,,,
https://www.amazon.com/Sherpa-Hooded-Shirts-Casual-Fleece/dp/B0BHWRKY5B/ref=sr_1_4380?c=ts&keywords=Men%27s+Active+%26+Performance+Jackets&qid=1706704097&s=apparel&sr=1-4380&ts_id=2476494011,Maiyifu-GJ Men's Sherpa Lined Hooded Shirts Casual Fleece Long Sleeve Hoodie Coat Warm Winter Thick Button Up Shirt Jacket,,,,https://m.media-amazon.com/images/I/810h22C9dXL._AC_SX569_.jpg,,,,,,,,,,,
https://www.amazon.com/DGHM-JLMY-Drawstring-Windproof-Outerwear-6X-Large/dp/B0CPDH1MKK/ref=sr_1_4379?c=ts&keywords=Men%27s+Active+%26+Performance+Jackets&qid=1706704097&s=apparel&sr=1-4379&ts_id=2476494011,DGHM-JLMY Men's Drawstring Long Warm Winter Hooded Coat Windproof Thicken Parkas Long Hooded Padded Puffer Jacket Outerwear,,,,,,,,,,,,,,,
https://www.amazon.com/Generic-Huguette-Baudrot-Picnic-Scene/dp/B08XZ1QRYF/ref=sr_1_4378?c=ts&keywords=Men%27s+Active+%26+Performance+Jackets&qid=1706704097&s=apparel&sr=1-4378&ts_id=2476494011,"Huguette Baudrot, Picnic Scene",,,"$2,300.00 ",https://m.media-amazon.com/images/I/81YMfgadTBL._AC_SX679_.jpg,,Gouache on Board     8.5 in. x 10 in. (21.59 cm x 25.4 cm)     circa 1960,,,,,,,,,
https://www.amazon.com/DGHM-JLMY-Vintage-Classic-Outwear-Thicken/dp/B0CQCQ7GP4/ref=sr_1_4377?c=ts&keywords=Men%27s+Active+%26+Performance+Jackets&qid=1706704097&s=apparel&sr=1-4377&ts_id=2476494011,DGHM-JLMY Men's Retro Stand Collar Coat Down Jacket Winter Vintage Classic Outwear Puffer Jacket Warm Thicken Padded Outwear,,,,https://m.media-amazon.com/images/I/71S70zed57L._AC_SX569_.jpg,,,,,,,,,,,
https://www.amazon.com/Just-Cavalli-Reversible-Insulated-Jacket/dp/B0759X4T28/ref=sr_1_4376?c=ts&keywords=Men%27s+Active+%26+Performance+Jackets&qid=1706704097&s=apparel&sr=1-4376&ts_id=2476494011,Just Cavalli Men's Reversible Full Zip Insulated Parka Jacket US S IT 48,,,,,,,,,,,,,,,
https://www.amazon.com/Biden-Printed-Collapsible-Insulated-Jacket/dp/B0B8PGVJPQ/ref=sr_1_4375?c=ts&keywords=Men%27s+Active+%26+Performance+Jackets&qid=1706704097&s=apparel&sr=1-4375&ts_id=2476494011,F Biden Stars Printed Black Collapsible Insulated Can Jacket,,,$8.87 ,https://m.media-amazon.com/images/I/41bydn4Rk7L._AC_SX522_.jpg,,,,,,,,,,,
https://www.amazon.com/Brandon-Printed-Collapsible-Insulated-Jacket/dp/B0B8Q3GW4M/ref=sr_1_4374?c=ts&keywords=Men%27s+Active+%26+Performance+Jackets&qid=1706704097&s=apparel&sr=1-4374&ts_id=2476494011,Let's Go Brandon Red E Blue Printed Collapsible Insulated Can Jacket,,,$8.87 ,https://m.media-amazon.com/images/I/61ETd2AumRL._AC_SX569_.jpg,,,,,,,,,,,
https://www.amazon.com/Trump-Printed-Collapsible-Insulated-Jacket/dp/B0B8Q9Y71Y/ref=sr_1_4373?c=ts&keywords=Men%27s+Active+%26+Performance+Jackets&qid=1706704097&s=apparel&sr=1-4373&ts_id=2476494011,Trump 2024 Stars Blue Printed Collapsible Insulated Can Jacket,,,$8.87 ,https://m.media-amazon.com/images/I/614gsi9euOL._AC_SX679_.jpg,,,,,,,,,,,
